Year,Global_Production,Three_Year_Rolling_AVG
1961,270551141.0,270551141.0
1962,252986543.0,261768842.0
1963,269981690.0,264506458.0
1964,284677697.0,269215310.0
1965,270912273.0,275190553.3333333
1966,281962819.0,279184263.0
1967,296219250.0,283031447.3333333
1968,303708169.0,293963412.6666667
1969,278475083.0,292800834.0
1970,298046840.0,293410030.6666667
1971,279489465.0,285337129.3333333
1972,272143664.0,283226656.3333333
1973,307158996.0,286264041.6666667
1974,284780226.0,288027628.6666667
1975,270382986.0,287440736.0
1976,272744024.0,275969078.6666667
1977,279666805.0,274264605.0
1978,291160722.0,281190517.0
1979,297920700.0,289582742.3333333
1980,240495149.0,276525523.6666667
1981,267780816.0,268732221.6666667
1982,265141702.0,257805889.0
1983,264470059.0,265797525.66666666
1984,290945057.0,273518939.3333333
1985,281602740.0,279005952.0
1986,286609431.0,286385742.6666667
1987,279414224.0,282542131.6666667
1988,268601866.0,278208507.0
1989,276582637.0,274866242.3333333
1990,266824123.0,270669542.0
1991,256993287.92000002,266800015.97333336
1992,278979592.1,267599001.00666666
1993,304614655.19,280195845.07
1994,270198497.32,284597581.53666663
1995,285329539.47,286714230.66
1996,310492904.0,288673646.93
1997,301078088.86,298966844.11
1998,297833665.56,303134886.14000005
1999,296109752.07,298340502.16333336
2000,322817990.85999995,305587136.16333336
2001,305546154.95000005,308157965.96
2002,309865038.86,312743061.5566667
2003,307664029.96000004,307691741.2566667
2004,328218313.56000006,315249127.46000004
2005,317739870.99,317874071.5033334
2006,307665613.49,317874599.3466667
2007,313306461.95,312903982.1433334
2008,327311702.01,316094592.48333335
2009,330884154.46,323834106.14000005
2010,328775588.77000004,328990481.74666667
2011,369067748.39,342909163.87333333
2012,362218226.56999993,353353854.57666665
2013,366327121.93999994,365871032.29999995
2014,369470819.41999996,366005389.30999994
2015,365656470.21,367151470.5233333
2016,354236120.79000014,363121136.8066667
2017,369278999.5899999,363057196.8633334
2018,364742705.40999997,362752608.59666663
2019,365804927.31000006,366608877.43666667
2020,368837532.69000006,366461721.80333334
2021,373645571.86,369429343.9533334
2022,373399784.59999985,371960963.04999995
2023,383082607.3699999,376709321.2766666
