Year,Country,Champion_Production
1961,USSR,84310000.0
1962,USSR,69677008.0
1963,USSR,71834000.0
1964,USSR,93642000.0
1965,USSR,88676000.0
1966,USSR,87853008.0
1967,USSR,95464000.0
1968,USSR,102184000.0
1969,USSR,91779008.0
1970,USSR,96783008.0
1971,USSR,92655008.0
1972,USSR,78329008.0
1973,USSR,108201008.0
1974,USSR,81022000.0
1975,USSR,88703008.0
1976,USSR,85102000.0
1977,USSR,83652000.0
1978,USSR,86124000.0
1979,USSR,90956000.0
1980,USSR,67023008.0
1981,USSR,72139008.0
1982,USSR,78185008.0
1983,USSR,82908000.0
1984,USSR,85515008.0
1985,USSR,73009008.0
1986,USSR,87186000.0
1987,USSR,75908000.0
1988,USSR,62705008.0
1989,USSR,72205008.0
1990,USSR,63607648.0
1991,USSR,64837504.0
1992,Russian Federation,38329700.0
1993,China,45941583.0
1994,China,43836390.0
1995,China,45983531.0
1996,China,53078698.0
1997,China,57259986.0
1998,China,64618163.0
1999,China,56140097.0
2000,China,66318167.0
2001,China,64597619.0
2002,China,70225831.0
2003,China,68138764.0
2004,China,72243279.0
2005,China,70911229.0
2006,China,64536069.0
2007,China,63820389.0
2008,China,68633152.0
2009,China,69885890.0
2010,China,76592184.0
2011,China,81636345.0
2012,China,84403933.0
2013,China,85930827.0
2014,China,84211784.0
2015,China,82893206.97
2016,China,84986523.0
2017,China,88536429.0
2018,China,90321442.0
2019,China,89562447.0
2020,China,92852722.05
2021,China,94412175.0
2022,China,92360428.0
2023,China,93491818.56
