Year,Global_Production,Avg_Production,Unit
1961,270551141.0,2097295.6666666665,t
1962,252986543.0,1961135.992248062,t
1963,269981690.0,2092881.3178294573,t
1964,284677697.0,2206803.8527131784,t
1965,270912273.0,2100095.1395348837,t
1966,281962819.0,2185758.2868217053,t
1967,296219250.0,2296273.2558139535,t
1968,303708169.0,2354326.891472868,t
1969,278475083.0,2158721.573643411,t
1970,298046840.0,2310440.620155039,t
1971,279489465.0,2166585.0,t
1972,272143664.0,2109640.80620155,t
1973,307158996.0,2381077.488372093,t
1974,284780226.0,2207598.6511627906,t
1975,270382986.0,2095992.1395348837,t
1976,272744024.0,2114294.7596899224,t
1977,279666805.0,2167959.7286821706,t
1978,291160722.0,2257059.8604651163,t
1979,297920700.0,2309462.7906976743,t
1980,240495149.0,1864303.480620155,t
1981,267780816.0,2075820.2790697673,t
1982,265141702.0,2055362.0310077518,t
1983,264470059.0,2050155.496124031,t
1984,290945057.0,2255388.03875969,t
1985,281602740.0,2182966.976744186,t
1986,286609431.0,2221778.534883721,t
1987,279414224.0,2166001.7364341086,t
1988,268601866.0,2082185.007751938,t
1989,276582637.0,2127558.7461538464,t
1990,266824123.0,2021394.871212121,t
1991,256993287.92000002,1946918.847878788,t
1992,278979592.1,1859863.9473333335,t
1993,304614655.19,2044393.6589932886,t
1994,270198497.32,1801323.3154666666,t
1995,285329539.47,1889599.599139073,t
1996,310492904.0,2056244.3973509935,t
1997,301078088.86,1993894.6282119206,t
1998,297833665.56,1972408.381192053,t
1999,296109752.07,1960991.7355629138,t
2000,322817990.85999995,2109921.5088888886,t
2001,305546154.95000005,1997033.6924836605,t
2002,309865038.86,2025261.6918954249,t
2003,307664029.96000004,1997818.3763636367,t
2004,328218313.56000006,2131287.750389611,t
2005,317739870.99,2063245.9155194806,t
2006,307665613.49,1984939.4418709679,t
2007,313306461.95,2034457.54512987,t
2008,327311702.01,2125400.6624025973,t
2009,330884154.46,2148598.4055844154,t
2010,328775588.77000004,2134906.420584416,t
2011,369067748.39,2396543.8207142856,t
2012,362218226.56999993,2352066.4062987007,t
2013,366327121.93999994,2378747.5450649345,t
2014,369470819.41999996,2399161.1650649346,t
2015,365656470.21,2374392.6637012986,t
2016,354236120.79000014,2300234.5505844164,t
2017,369278999.5899999,2382445.158645161,t
2018,364742705.40999997,2353178.744580645,t
2019,365804927.31000006,2360031.7890967745,t
2020,368837532.69000006,2379596.9850967745,t
2021,373645571.86,2410616.5926451613,t
2022,373399784.59999985,2393588.3628205117,t
2023,383082607.3699999,2455657.739551281,t
