Year,Country,Production,Unit,YOY,Unit_1,YOY_Perc
1961,Poland,45203008.0,t,,t,
1962,Poland,37817008.0,t,-7386000.0,t,-16.0
1963,Poland,44868000.0,t,7050992.0,t,19.0
1964,Poland,47860000.0,t,2992000.0,t,7.0
1965,Poland,42665008.0,t,-5194992.0,t,-11.0
1966,Poland,45798208.0,t,3133200.0,t,7.0
1967,Poland,48213696.0,t,2415488.0,t,5.0
1968,Poland,50280000.0,t,2066304.0,t,4.0
1969,Poland,44935008.0,t,-5344992.0,t,-11.0
1970,Poland,50301408.0,t,5366400.0,t,12.0
1971,Poland,39801104.0,t,-10500304.0,t,-21.0
1972,Poland,48735408.0,t,8934304.0,t,22.0
1973,Poland,51928208.0,t,3192800.0,t,7.0
1974,Poland,48518800.0,t,-3409408.0,t,-7.0
1975,Poland,46429040.0,t,-2089760.0,t,-4.0
1976,Poland,49951088.0,t,3522048.0,t,8.0
1977,Poland,41147616.0,t,-8803472.0,t,-18.0
1978,Poland,46647888.0,t,5500272.0,t,13.0
1979,Poland,49571920.0,t,2924032.0,t,6.0
1980,Poland,26390544.0,t,-23181376.0,t,-47.0
1981,Poland,42561648.0,t,16171104.0,t,61.0
1982,Poland,31950640.0,t,-10611008.0,t,-25.0
1983,Poland,34472976.0,t,2522336.0,t,8.0
1984,Poland,37437056.0,t,2964080.0,t,9.0
1985,Poland,36546144.0,t,-890912.0,t,-2.0
1986,Poland,39037408.0,t,2491264.0,t,7.0
1987,Poland,36252208.0,t,-2785200.0,t,-7.0
1988,Poland,34706528.0,t,-1545680.0,t,-4.0
1989,Poland,34390480.0,t,-316048.0,t,-1.0
1990,Poland,36312784.0,t,1922304.0,t,6.0
1991,Poland,29038130.0,t,-7274654.0,t,-20.0
1992,Poland,23387744.0,t,-5650386.0,t,-19.0
1993,Poland,36270544.0,t,12882800.0,t,55.0
1994,Poland,23057540.0,t,-13213004.0,t,-36.0
1995,Poland,24891330.0,t,1833790.0,t,8.0
1996,Poland,27217090.0,t,2325760.0,t,9.0
1997,Poland,20775644.0,t,-6441446.0,t,-24.0
1998,Poland,25948670.0,t,5173026.0,t,25.0
1999,Poland,19926716.0,t,-6021954.0,t,-23.0
2000,Poland,24232376.0,t,4305660.0,t,22.0
2001,Poland,19378860.0,t,-4853516.0,t,-20.0
2002,Poland,15522842.0,t,-3856018.0,t,-20.0
2003,Poland,13731500.0,t,-1791342.0,t,-12.0
2004,Poland,13998654.0,t,267154.0,t,2.0
2005,Poland,10369253.0,t,-3629401.0,t,-26.0
2006,Poland,8981976.0,t,-1387277.0,t,-13.0
2007,Poland,11791072.0,t,2809096.0,t,31.0
2008,Poland,10462100.0,t,-1328972.0,t,-11.0
2009,Poland,9702800.0,t,-759300.0,t,-7.0
2010,Poland,8448180.0,t,-1254620.0,t,-13.0
2011,Poland,9361848.0,t,913668.0,t,11.0
2012,Poland,9091900.0,t,-269948.0,t,-3.0
2013,Poland,7290427.0,t,-1801473.0,t,-20.0
2014,Poland,7689180.0,t,398753.0,t,5.0
2015,Poland,6313669.0,t,-1375511.0,t,-18.0
2016,Poland,8872445.0,t,2558776.0,t,41.0
2017,Poland,9171733.0,t,299288.0,t,3.0
2018,Poland,7311960.0,t,-1859773.0,t,-20.0
2019,Poland,6481620.0,t,-830340.0,t,-11.0
2020,Poland,7859510.0,t,1377890.0,t,21.0
2021,Poland,7081460.0,t,-778050.0,t,-10.0
2022,Poland,6030930.0,t,-1050530.0,t,-15.0
2023,Poland,5590030.0,t,-440900.0,t,-7.0
